driverId,week,hours-logged,miles-logged
65,40,62,3800
66,51,65,1000
63,43,63,2300
37,41,59,2700
30,19,64,3000
89,40,74,2700
34,38,65,4000
82,11,57,2600
39,43,67,3600
82,7,62,1700
88,38,71,3800
23,44,68,3600
87,4,58,3600
100,28,54,2000
89,36,74,2600
63,18,71,2500
65,19,55,600
64,8,63,400
77,23,67,3400
59,41,66,800
27,35,79,1000
83,31,73,1700
54,28,74,100
103,37,55,1400
75,16,71,3900
19,10,77,2100
21,4,63,3000
66,3,68,1200
40,22,79,1100
69,35,80,4000
104,25,57,1900
16,13,73,300
13,32,76,900
30,24,53,1800
12,37,51,2200
96,19,66,1100
44,13,71,3000
45,11,54,300
21,22,52,2500
26,43,55,2800
61,32,69,1300
95,5,75,2800
39,47,74,2400
59,35,54,3300
17,50,65,3100
28,2,50,1800
103,47,62,2100
67,46,63,600
89,48,51,2700
21,28,66,3000
67,33,51,300
98,31,53,400
20,5,59,3200
84,8,79,200
20,6,64,900
56,9,59,800
109,32,50,3200
20,8,56,0
47,19,76,300
58,3,65,3600
98,34,69,1700
102,9,57,600
91,51,56,1800
27,29,51,100
38,38,52,2800
106,23,77,100
30,52,63,1400
57,40,72,700
70,30,51,0
39,39,50,2600
10,15,50,3700
37,12,69,1300
88,9,55,200
49,45,69,1300
75,40,70,3400
34,12,70,1200
44,44,76,2000
79,6,56,3400
39,42,78,300
79,17,66,1200
37,35,55,2800
87,26,73,1800
92,12,76,3200
39,36,77,800
39,24,69,3500
52,2,77,2200
91,2,51,3900
48,31,77,3200
83,9,51,1700
41,46,66,1600
55,40,80,1400
99,2,64,900
100,38,73,1200
80,1,53,1000
86,23,78,300
39,27,58,500
106,26,50,600
53,40,78,400
50,39,70,1300
100,21,64,500
73,8,70,200
37,5,77,2200
56,23,79,500
87,16,61,300
53,12,65,400
79,2,54,3000
44,38,76,1100
27,51,53,3200
58,12,62,1400
68,21,55,3600
78,6,50,2200
64,38,76,4000
82,42,78,2500
68,20,62,3800
25,24,65,400
50,15,76,2600
82,7,62,2000
63,4,60,3500
63,31,68,3500
59,3,58,200
83,50,67,2400
45,1,53,3600
86,16,74,2300
80,45,65,1400
29,25,79,2500
57,52,59,2300
108,30,70,600
29,30,52,3400
108,38,58,3800
80,51,61,500
97,34,65,1700
79,13,68,100
61,6,65,2100
81,2,55,400
71,40,65,100
49,43,63,3300
31,6,73,1500
59,47,79,800
32,40,53,2200
101,30,79,3900
90,22,55,1900
29,25,55,1500
54,37,57,3800
101,19,75,200
103,40,67,2400
95,50,53,1700
56,8,67,3200
42,25,55,3400
82,36,64,3300
43,6,53,200
50,25,61,1600
25,49,60,3100
10,27,66,3500
10,15,70,1500
79,17,56,1300
62,16,61,2200
15,10,66,300
58,46,56,2100
108,12,63,1900
83,13,60,2800
41,8,59,900
37,39,75,500
47,25,69,3100
69,44,69,900
90,34,73,3400
81,8,79,1300
24,14,71,1500
93,11,79,1200
41,7,73,3100
107,18,61,3800
59,41,79,700
22,13,61,0
101,11,79,3400
95,15,50,2400
56,4,54,1900
19,1,67,2000
91,9,80,2600
85,17,56,2900
62,38,64,3600
27,52,52,3700
60,8,58,3100
93,34,62,1500
76,11,69,2300
40,32,78,3500
76,45,69,3700
15,50,52,2400
50,20,54,1100
11,23,63,3200
83,22,66,100
31,52,76,1400
62,5,77,2800
54,40,61,3400
98,28,64,2200
106,14,77,2800
79,49,53,2000
100,1,57,1600
42,46,72,3500
54,41,53,1800
10,49,51,1500
103,46,62,2900
73,44,79,2400
68,22,72,2900
65,41,74,100
93,3,63,1000
39,19,77,3500
93,44,62,300
83,15,61,3100
91,52,68,1700
65,13,70,1200
102,4,69,1000
95,19,72,3100
95,40,59,100
86,15,66,4000
68,2,79,100
107,14,50,1100
74,52,61,2500
71,25,76,1600
42,18,74,3200
43,36,70,2400
92,49,74,2900
55,39,50,3700
100,46,57,3000
85,28,65,300
73,22,63,2100
45,36,62,2600
24,25,77,3700
68,38,66,3200
19,38,72,2100
12,49,50,400
67,30,80,3400
28,2,54,2200
27,40,65,3600
102,1,78,4000
25,42,60,1800
77,6,56,1900
88,42,72,2600
77,28,66,3000
31,1,74,2200
51,22,53,3300
56,36,76,3100
75,8,57,3000
82,2,74,1700
17,33,59,1500
39,34,70,2400
71,38,54,1000
89,21,80,2200
31,52,58,1800
44,18,76,3300
70,51,57,100
43,47,80,3800
95,26,67,3600
59,20,52,300
103,46,72,600
30,19,61,800
52,8,78,3100
14,29,60,3200
87,42,73,1600
68,45,54,2800
12,13,77,2900
74,1,66,3000
98,36,50,2100
46,19,71,3200
40,44,71,1600
42,51,70,3700
108,43,58,3000
34,41,57,1800
55,19,74,3600
73,50,71,3200
95,18,80,2900
77,22,79,900
43,49,60,1400
84,24,51,1100
106,22,71,2800
39,12,73,400
21,16,56,3200
39,48,60,1300
63,36,62,300
33,31,69,4000
95,40,76,3700
76,40,78,800
52,4,67,1400
21,18,56,400
50,47,71,1200
34,34,62,100
11,13,52,2400
100,45,79,2400
48,47,63,2600
99,24,65,1900
64,31,50,3200
89,8,52,2300
33,12,60,3000
40,49,77,2900
91,42,55,2200
62,2,76,3000
105,50,57,3500
66,20,64,1200
26,20,63,2200
66,16,60,2000
64,13,80,600
26,30,56,500
45,32,59,300
80,39,57,4000
65,42,59,1300
90,44,59,900
95,31,51,500
80,16,73,1200
12,26,58,3100
16,32,79,2000
37,38,63,3900
98,29,80,600
72,20,73,400
70,4,63,1400
20,28,59,3500
26,41,65,200
66,35,58,1700
67,25,72,3100
50,25,69,800
12,7,50,4000
55,39,64,3800
42,24,75,2900
88,26,56,1700
46,42,55,2000
48,3,76,2000
85,42,60,3600
20,51,71,1400
57,4,65,3300
65,32,53,3700
72,25,73,1900
22,21,68,2700
97,12,67,2700
102,52,80,600
89,47,65,2000
80,22,70,100
64,43,62,600
33,3,51,3300
60,48,50,3700
14,49,66,400
14,25,66,1500
73,25,79,500
14,27,79,2600
87,27,72,500
73,22,59,3100
48,3,53,300
109,52,74,900
66,46,61,2900
38,36,66,2200
52,20,76,1900
39,49,70,3700
100,13,77,1100
45,33,51,200
48,30,72,300
15,3,59,3000
20,4,75,3400
66,26,59,1700
